Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 72.0.3626.121,,2019-03-12 13:06:55,2019-03-12 13:13:25,6m - 29.960s,PASSED
,,,,,,
Test Cases/Common Test Cases/Login_valid,Chrome 72.0.3626.121,"Common test case used to login. 
Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",2019-03-12 13:06:55,2019-03-12 13:10:10,3m - 14.811s,PASSED
"comment(""Customer Login with valid account"")",Chrome 72.0.3626.121,,2019-03-12 13:06:56,2019-03-12 13:06:56,0.144s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-12 13:06:56,2019-03-12 13:08:25,1m - 28.958s,PASSED
"navigateToUrl(""https://testing.adeptforms.com/module/cdg/customer/session/login"")",Chrome 72.0.3626.121,,2019-03-12 13:08:25,2019-03-12 13:08:59,34.186s,PASSED
"callTestCase(findTestCase(""Main Test Cases/Verify Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 13:08:59,2019-03-12 13:10:00,1m - 1.003s,PASSED
"setText(findTestObject(""Page_CDG/Input_Email""), Input_Email)",Chrome 72.0.3626.121,,2019-03-12 13:10:00,2019-03-12 13:10:01,1.172s,PASSED
"setText(findTestObject(""Page_CDG/input_Password""), input_Password)",Chrome 72.0.3626.121,,2019-03-12 13:10:01,2019-03-12 13:10:01,0.145s,PASSED
"click(findTestObject(""Page_CDG/button_Login""))",Chrome 72.0.3626.121,,2019-03-12 13:10:01,2019-03-12 13:10:01,0.110s,PASSED
"callTestCase(findTestCase(""Main Test Cases/TC1_Verify Successful Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 13:10:01,2019-03-12 13:10:08,6.217s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-12 13:10:08,2019-03-12 13:10:10,2.375s,PASSED
,,,,,,
Test Cases/Common Test Cases/Login_valid,Chrome 72.0.3626.121,"Common test case used to login. 
Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",2019-03-12 13:10:10,2019-03-12 13:10:50,39.577s,PASSED
"comment(""Customer Login with valid account"")",Chrome 72.0.3626.121,,2019-03-12 13:10:10,2019-03-12 13:10:10,0.000s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-12 13:10:10,2019-03-12 13:10:19,9.073s,PASSED
"navigateToUrl(""https://testing.adeptforms.com/module/cdg/customer/session/login"")",Chrome 72.0.3626.121,,2019-03-12 13:10:19,2019-03-12 13:10:22,2.418s,PASSED
"callTestCase(findTestCase(""Main Test Cases/Verify Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 13:10:22,2019-03-12 13:10:45,23.236s,PASSED
"setText(findTestObject(""Page_CDG/Input_Email""), Input_Email)",Chrome 72.0.3626.121,,2019-03-12 13:10:45,2019-03-12 13:10:45,0.259s,PASSED
"setText(findTestObject(""Page_CDG/input_Password""), input_Password)",Chrome 72.0.3626.121,,2019-03-12 13:10:45,2019-03-12 13:10:45,0.141s,PASSED
"click(findTestObject(""Page_CDG/button_Login""))",Chrome 72.0.3626.121,,2019-03-12 13:10:45,2019-03-12 13:10:45,0.094s,PASSED
"callTestCase(findTestCase(""Main Test Cases/TC1_Verify Successful Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 13:10:45,2019-03-12 13:10:49,3.326s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-12 13:10:49,2019-03-12 13:10:50,1.022s,PASSED
,,,,,,
Test Cases/Common Test Cases/Login_valid,Chrome 72.0.3626.121,"Common test case used to login. 
Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",2019-03-12 13:10:50,2019-03-12 13:11:33,43.758s,PASSED
"comment(""Customer Login with valid account"")",Chrome 72.0.3626.121,,2019-03-12 13:10:50,2019-03-12 13:10:50,0.004s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-12 13:10:50,2019-03-12 13:10:54,4.269s,PASSED
"navigateToUrl(""https://testing.adeptforms.com/module/cdg/customer/session/login"")",Chrome 72.0.3626.121,,2019-03-12 13:10:54,2019-03-12 13:10:57,2.631s,PASSED
"callTestCase(findTestCase(""Main Test Cases/Verify Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-12 13:10:57,2019-03-12 13:11:28,31.675s,PASSED
